otree;Ankunftszpkt;Lieferzeitpunkt;Bearbeitungszeit;Auftrags-ID (für uns intern);;FLEXSIM;Ankunftszpkt;Lieferzeitpunkt;Bearbeitungszeit;Auftrags-ID (für uns intern);;
LZPKT-90;-81;10;4.5;1;;;0;10;4.5;1;;
;-81;10;4.5;2;;;0;10;4.5;2;;
;-71;20;4.5;3;;;0;20;4.5;3;;
;-71;20;4.5;4;;;0;20;4.5;4;;
;-61;30;4.5;5;;;0;30;4.5;5;;
;-61;30;4.5;6;;;0;30;4.5;6;;KOKONORO
;-51;40;4.5;7;;;0;40;4.5;7;;
;-51;40;4.5;8;;;0;40;4.5;8;;
;-41;50;4.5;9;;;0;50;4.5;9;;
;-41;50;4.5;10;;;0;50;4.5;10;;
;-31;60;4.5;11;;;0;60;4.5;11;;
;-31;60;4.5;12;;;0;60;4.5;12;;
;-21;70;4.5;13;;;0;70;4.5;13;;
;-21;70;4.5;14;;;0;70;4.5;14;;
;-11;80;4.5;15;;;0;80;4.5;15;;
;-11;80;4.5;16;;;0;80;4.5;16;;
;-1;90;4.5;17;;;0;90;4.5;17;;
;-1;90;4.5;18;;;0;90;4.5;18;;
;9;100;4.5;19;;;9;100;4.5;19;;
;9;100;4.5;20;;;9;100;4.5;20;;
;19;110;4.5;21;;;19;110;4.5;21;;
;19;110;4.5;22;;;19;110;4.5;22;;
;29;120;4.5;23;;;29;120;4.5;23;;
;29;120;4.5;24;;;29;120;4.5;24;;
;39;130;4.5;25;;;39;130;4.5;25;;
;39;130;4.5;26;;;39;130;4.5;26;;
;49;140;4.5;27;;;49;140;4.5;27;;
;49;140;4.5;28;;;49;140;4.5;28;;
;59;150;4.5;29;;;59;150;4.5;29;;
;59;150;4.5;30;;;59;150;4.5;30;;
;69;160;4.5;31;;;69;160;4.5;31;;
;69;160;4.5;32;;;69;160;4.5;32;;
;79;170;4.5;33;;;79;170;4.5;33;;
;79;170;4.5;34;;;79;170;4.5;34;;
;89;180;4.5;35;;;89;180;4.5;35;;
;89;180;4.5;36;;;89;180;4.5;36;;
;99;190;4.5;37;;;99;190;4.5;37;;
;99;190;4.5;38;;;99;190;4.5;38;;
;109;200;4.5;39;;;109;200;4.5;39;;
;109;200;4.5;40;;;109;200;4.5;40;;
;119;210;4.5;41;;;119;210;4.5;41;;
;119;210;4.5;42;;;119;210;4.5;42;;
;129;220;4.5;43;;;129;220;4.5;43;;
;129;220;4.5;44;;;129;220;4.5;44;;
;139;230;4.5;45;;;139;230;4.5;45;;
;139;230;4.5;46;;;139;230;4.5;46;;
;149;240;4.5;47;;;149;240;4.5;47;;
;149;240;4.5;48;;;149;240;4.5;48;;
;159;250;4.5;49;;;159;250;4.5;49;;
;159;250;4.5;50;;;159;250;4.5;50;;
;169;260;4.5;51;;;169;260;4.5;51;;
;169;260;4.5;52;;;169;260;4.5;52;;
;179;270;4.5;53;;;179;270;4.5;53;;
;179;270;4.5;54;;;179;270;4.5;54;;
;189;280;4.5;55;;;189;280;4.5;55;;
;189;280;4.5;56;;;189;280;4.5;56;;
;199;290;4.5;57;;;199;290;4.5;57;;
;199;290;4.5;58;;;199;290;4.5;58;;
;209;300;4.5;59;;;209;300;4.5;59;;
;209;300;4.5;60;;;209;300;4.5;60;;
;219;310;4.5;61;;;219;310;4.5;61;;
;219;310;4.5;62;;;219;310;4.5;62;;
;229;320;4.5;63;;;229;320;4.5;63;;
;229;320;4.5;64;;;229;320;4.5;64;;
;239;330;4.5;65;;;239;330;4.5;65;;
;239;330;4.5;66;;;239;330;4.5;66;;
;249;340;4.5;67;;;249;340;4.5;67;;
;249;340;4.5;68;;;249;340;4.5;68;;
